,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Specialist Enchants,,,,,,,,,Protection,,,,,,Health,,,,,,Speed,,,,Armor Attribrutes,,,,,,,,,Weapon Base Stats,,,,,,Durability,,,,Melee Enchants,,,,,,,,,,,,,,Ranged Enchants,,,,,,,,,,,Tool Enchants,,,,,,,,,Water,,,,,,Misc.,,,,,,,,,,,,,Curses,,,,Epic Enchants,,,,,Indexing,,,,,Stored Values,
,Name,Region,Tier,Type,Base Item,Location,Armor,Agility,Specialist Enchants,Protection,Health,Speed,Armor Attribrutes,Weapon Base Stats,Durability,Melee Enchants,Ranged Enchants,Tool Enchants,Water,Misc.,Curses,Epic Enchants,Notes,,Shielding,Poise,Inure,Steadfast,Ethereal ,Reflexes ,Evasion,Tempo ,Adaptability,Melee Prot.,Projectile Prot.,Magic Prot.,Blast Prot.,Fire Prot.,Feather Falling,Max Health,Max Health %,Regen,Life Drain,Sustenance,Anemia,Speed,Speed %,Adrenaline,Crippling,Attack Damage,Attack Speed,Attack Speed %,Magic Damage,Proj Damage,Proj Speed,Knockback Res.,Thorns,Thorns Damage,Base Spell Power,Base Attack Damage,Base Attack Speed,Base Proj Damage,Base Proj Speed,Base Throw Rate,Unbreaking,Mending,Unbreakable,Irreparability,Smite,Slayer,Duelist,Fire Aspect (M),Ice Aspect (M),Thunder Aspect (M),Knockback,Sweeping Edge,Decay,Hex Eater,Bleeding,Chaotic,Quake,Looting,Sniper,Point Blank,Fire Aspect (P),Ice Aspect (P),Thunder Aspect (P),Punch,Infinity (bow),Quick Charge,Piercing,Multishot,Recoil,Efficiency,Sapper,Eruption,Multitool,Fortune,Silk Touch,Lure,Infinity (tool),Shrapnel,Abyssal,Gills,Respiration,Aqua Affinity,Depth Strider,Riptide,Inferno,Second Wind,Regicide,Aptitude,Retrieval,Intuition,Radiant,Darksight,Weightless,Triage,Soul Speed,Void Tether,Resurrection,Ineptitude,Vanishing,Two Handed,Corruption,Arcane Thrust,Rage of the Keter,Protection of the Depths,Persistence,Ashes of Eternity,Tier,Location,Health,Speed,Attack Speed,Tier,Location
,Ardent Convergence,Isles,Epic,Wand,Blaze Rod,Isles Delves,,,,,,Adrenaline 3,,"+65% Spell Power
5.0 Attack Damage
4.0 Attack Speed",Unbreakable,"Fire Aspect 3
Ice Aspect 1
Thunder Aspect 1",,,,Inferno 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,+65%,5.0,4.0,,,,,,1,,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,13,43,,,,13,43
,Aurora Mirror (mainhand),Isles,Epic,Mainhand,Shield,Isles Delves,3.5,,,Magic Prot. 3,,,+3.0 Knockback Res.,,"Unbreaking 3
Mending",Ice Aspect 3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,+3.0,,,,,,,,,3,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,43,,,,13,43
,Aurora Mirror (offhand),Isles,Epic,Offhand Shield,Shield,Isles Delves,4.5,,,Magic Prot. 3,+10% Max Health,,+0.10 Attack Speed,,"Unbreaking 3
Mending",Ice Aspect 3,,,,,,,,,,,,,,,,,,,,3,,,,,+10%,,,,,,,,,,+0.10,,,,,,,,,,,,,,3,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,43,12.5,,+8%,13,43
,Chains of Entropy,Isles,Epic,Boots,Chainmail Boots,Isles Delves,11,,,"Projectile Prot. 3
Magic Prot. 3
Blast Prot. 3
Fire Prot. 3","-4 Max Health
Anemia 2",+10% Speed,,,Unbreakable,,,,,,,,,,,,,,,,,,,,3,3,3,3,,-4,,,,,2,,+10%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,43,-20,+10%,,13,43
,Firmament,Isles,Epic,Misc,Cyan Shulker Box,Isles Delves,,,,,,,,,,,,,,,,,Semi-infinite block placing shulker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,43,,,,13,43
,Fleshbreaker,Isles,Epic,Axe,Iron Axe,Isles Delves,,,,,,,,"16.5 Attack Damage
0.9 Attack Speed",Unbreakable,"Slayer 3
Duelist 3
Decay 3
Bleeding 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,0.9,,,,,,1,,,3,3,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,43,,,,13,43
,Fruit of Life,Isles,Epic,Consumable,Chorus Fruit,Isles Delves,,,,,,,,,,,,Infinity,,,,Rage of the Keter,15% Speed & Strength for 15 secs with 30 sec cooldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,13,43,,,,13,43
,Salazar's Greed,Isles,Epic,Leggings,Golden Leggings,Isles Delves,,6,,,,+10% Speed,"+40% Attack Damage
+10% Attack Speed",,Unbreakable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+10%,,,+40%,,+10%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,43,,+10%,+10%,13,43
,Soul of Ishnir,Isles,Epic,Scythe,Golden Hoe,Isles Delves,,,,,"Regen 1
Life Drain 1",,+5% Magic Damage,"10.5 Attack Damage
1.5 Attack Speed",Unbreakable,Hex Eater 1,,,,,,Ashes of Eternity,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,+5%,,,,,,,10.5,1.5,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,43,,,,13,43
